UID,Top_Lane,Top_Team,Top_Oper,Jun_Lane,Jun_Team,Jun_Oper,Mid_Lane,Mid_Team,Mid_Oper,AD_Lane,AD_Team,AD_Oper,Sup_Lane,Sup_Team,Sup_Oper,Total_Lane,Total_Team,Total_Oper,AVG_Lane,AVG_Team,AVG_Oper
aIm4TlDq2faZ7lGyJiod80lawIF2,6,0,18,6,0,18,6,0,18,5,0,15,4,0,14,27,0,83,,,
JZdWdFx7FQTO3lapVhmwTRufNXm2,16,1,46,16,9,30,16,1,48,16,3,44,16,3,34,80,17,202,,,
cqiNHvNPSgefWQvk19MD2vZWnRM2,6,11,3,5,14,4,5,13,4,6,15,3,5,12,5,27,65,19,,,
jHCjvh0ojKWDkGqdG3ucYJ5kUFG2,6,13,1,6,9,3,6,12,6,6,18,1,6,17,3,30,69,14,,,
9XEnEWFc1pa3bSxBuzISPCyd6Se2,15,26,10,15,33,11,14,33,3,16,35,9,15,27,14,75,154,47,,,
jAmuBKUZKOR1LW8Q8DD6C1dm5o03,6,6,12,5,9,9,6,7,11,6,8,10,6,9,9,29,39,51,,,
QWJcGkcxDGNrkI6hi0GAJoIk3r22,8,24,0,8,26,0,8,25,0,8,26,0,8,24,0,40,125,0,,,
22tgDXie2QZ4D2EiDyoHni0idsS2,9,0,28,9,0,29,9,0,28,8,0,25,10,0,29,45,0,139,,,
HukQAqHckdRiSFipqqqUxyhx02v2,3,5,3,3,0,3,3,0,0,4,6,5,5,7,5,18,18,16,,,
pSTWw23oKKawkqYdpy53hDowaPg1,5,0,15,6,7,8,5,2,13,5,0,16,5,5,11,26,14,63,,,
BKLRvlLhEZND5cuOfLspaeksijH3,15,14,32,15,8,37,15,13,29,15,9,37,15,4,42,75,48,177,,,
7y3KUDrfwMSnNaKnK9QbM49vzzH3,8,21,4,8,14,5,7,14,9,8,17,6,8,9,11,39,75,35,,,
S2RdB97QyPWmT3xqdv8GRMsB7a02,5,4,8,7,2,6,7,4,12,5,4,9,4,1,12,28,15,47,,,
dbESNpLIupe2kf2LTOLTm5OHPje2,3,6,1,3,3,7,4,9,1,2,0,3,4,6,8,16,24,20,,,
lT0ZJ7qSQbXc0lKK04x7k1iTydw1,11,23,4,11,14,12,10,22,3,11,13,8,11,12,14,54,84,41,,,
mbixQsIi2PaFz3pJ4VYFm10wq1B3,8,23,0,7,23,0,7,22,0,8,26,0,8,24,0,38,118,0,,,
yCdluBkQfITA6ORlwhXOAiZCYa03,4,0,13,4,0,13,4,0,13,4,0,13,4,0,13,20,0,65,,,
4bEFdh91thSiF63HvhqsEqIpznj1,4,0,8,5,0,11,3,0,0,4,0,0,4,0,12,20,0,31,,,
dKPV0LFZrPdoIBIu2vkiwFRQtUB2,5,16,0,5,16,0,5,16,0,5,0,16,5,9,2,25,57,18,,,
o5ZUn1zGlohtV4tAinfMkkRTfXD3,5,6,9,5,8,8,7,10,9,9,14,12,8,8,15,34,46,53,,,
BMKqjkBYxOTIQ0RbXRbCpHn8S483,11,18,16,11,12,22,10,18,15,11,18,17,11,10,22,54,76,92,,,
e5iGhIAV7rWtO0dmU9nYVs2pF7M2,6,3,11,5,0,11,5,8,8,5,5,10,4,1,12,25,17,52,,,
